X,CH1,CH2,Start,Increment,P(Psi),V_int (cc)
207,1.02E+00,7.20E+00,,,,
208,1.02E+00,7.40E+00,,,,
209,-7.92E-01,5.52E+00,,,,
210,1.02E+00,7.44E+00,,,,
211,-1.02E+00,5.40E+00,,,,
212,1.02E+00,5.56E+00,,,,
213,-8.48E-01,7.44E+00,,,,
214,-1.02E+00,5.48E+00,,,,
215,1.02E+00,7.44E+00,,,,
216,-1.02E+00,5.68E+00,,,,
217,1.02E+00,7.56E+00,,,,
218,1.02E+00,5.60E+00,,,,
219,-1.02E+00,7.44E+00,,,,
220,1.02E+00,7.44E+00,,,,
221,-1.02E+00,5.68E+00,,,,
222,1.02E+00,7.64E+00,,,,
223,-1.02E+00,5.88E+00,,,,
224,1.02E+00,5.76E+00,,,,
225,-1.02E+00,7.72E+00,,,,
226,-1.02E+00,5.96E+00,,,,
227,1.02E+00,7.84E+00,,,,
228,-1.28E-01,7.12E+00,,,,
229,1.84E-01,6.84E+00,,,,
230,-1.60E-01,7.16E+00,,,,
231,1.68E-01,6.88E+00,,,,
232,-1.44E-01,6.88E+00,,,,
233,1.44E-01,7.16E+00,,,,
234,1.92E-01,6.88E+00,,,,
235,-1.52E-01,7.20E+00,,,,
236,-1.36E-01,6.96E+00,,,,
237,1.36E-01,7.24E+00,,,,
238,1.52E-01,7.24E+00,,,,
239,-1.28E-01,6.88E+00,,,,
240,1.68E-01,6.88E+00,,,,
241,-1.12E-01,7.28E+00,,,,
242,-1.36E-01,6.92E+00,,,,
243,1.92E-01,7.20E+00,,,,
244,1.92E-01,6.88E+00,,,,
245,-1.76E-01,7.24E+00,,,,
246,-1.12E-01,6.88E+00,,,,
247,2.00E-01,7.20E+00,,,,
248,-1.44E-01,6.88E+00,,,,
249,1.76E-01,7.24E+00,,,,
250,-1.44E-01,7.16E+00,,,,
251,1.76E-01,6.92E+00,,,,
252,1.84E-01,7.20E+00,,,,
253,-1.44E-01,6.88E+00,,,,
254,-1.20E-01,6.88E+00,,,,
255,1.84E-01,7.20E+00,,,,
256,-1.44E-01,6.92E+00,,,,
257,1.76E-01,7.24E+00,,,,
258,-1.44E-01,7.20E+00,,,,
259,1.68E-01,6.88E+00,,,,
260,1.76E-01,7.20E+00,,,,
261,-1.52E-01,6.88E+00,,,,
262,1.92E-01,7.20E+00,,,,
263,-1.44E-01,6.88E+00,,,,
264,1.76E-01,6.88E+00,,,,
265,-1.20E-01,7.24E+00,,,,
266,1.92E-01,7.20E+00,,,,
267,-1.76E-01,6.88E+00,,,,
268,1.60E-01,6.92E+00,,,,
269,-1.36E-01,7.20E+00,,,,
270,2.00E-01,7.20E+00,,,,
271,-1.20E-01,6.88E+00,,,,
272,1.76E-01,6.92E+00,,,,
273,-1.60E-01,7.24E+00,,,,
274,-1.36E-01,6.88E+00,,,,
275,1.68E-01,7.20E+00,,,,
276,1.02E+00,5.88E+00,,,,
277,-1.02E+00,8.32E+00,,,,
278,-1.02E+00,8.20E+00,,,,
279,1.02E+00,5.96E+00,,,,
280,-1.02E+00,6.28E+00,,,,
281,1.02E+00,8.12E+00,,,,
282,1.02E+00,8.12E+00,,,,
283,-1.02E+00,6.40E+00,,,,
284,1.02E+00,8.08E+00,,,,
285,-1.02E+00,6.08E+00,,,,
286,1.02E+00,8.08E+00,,,,
287,-1.02E+00,6.40E+00,,,,
288,-1.02E+00,6.48E+00,,,,
289,1.02E+00,8.20E+00,,,,
290,1.02E+00,8.24E+00,,,,
291,-1.02E+00,6.44E+00,,,,
292,-1.02E+00,8.24E+00,,,,
293,7.12E-01,6.56E+00,,,,
294,1.02E+00,6.44E+00,,,,
295,-1.02E+00,8.28E+00,,,,
296,1.02E+00,8.48E+00,,,,
297,-1.02E+00,6.84E+00,,,,
298,-2.16E-01,7.48E+00,,,,
299,1.12E-01,7.80E+00,,,,
300,-2.24E-01,7.56E+00,,,,
301,8.80E-02,7.84E+00,,,,
302,7.20E-02,7.84E+00,,,,
303,-2.00E-01,7.60E+00,,,,
304,-1.92E-01,7.60E+00,,,,
305,7.20E-02,7.84E+00,,,,
306,-1.92E-01,7.84E+00,,,,
307,8.00E-02,7.56E+00,,,,
308,-1.92E-01,7.88E+00,,,,
309,1.20E-01,7.60E+00,,,,
310,1.20E-01,7.56E+00,,,,
311,-1.76E-01,7.88E+00,,,,
312,-1.68E-01,7.64E+00,,,,
313,1.04E-01,7.84E+00,,,,
314,8.80E-02,7.88E+00,,,,
315,-2.16E-01,7.56E+00,,,,
316,-1.60E-01,7.88E+00,,,,
317,1.04E-01,7.56E+00,,,,
318,1.28E-01,7.60E+00,,,,
319,-1.84E-01,7.88E+00,,,,
320,1.36E-01,7.56E+00,,,,
321,-2.08E-01,7.88E+00,,,,
322,1.20E-01,7.88E+00,,,,
323,-2.08E-01,7.60E+00,,,,
324,-1.84E-01,7.88E+00,,,,
325,9.60E-02,7.60E+00,,,,
326,-1.92E-01,7.84E+00,,,,
327,1.12E-01,7.56E+00,,,,
328,1.28E-01,7.56E+00,,,,
329,-1.84E-01,7.88E+00,,,,
330,-1.52E-01,7.64E+00,,,,
331,1.20E-01,7.92E+00,,,,
332,1.52E-01,7.60E+00,,,,
333,-1.76E-01,7.84E+00,,,,
334,1.12E-01,7.60E+00,,,,
335,-2.00E-01,7.88E+00,,,,
336,-2.40E-01,7.88E+00,,,,
337,9.60E-02,7.56E+00,,,,
338,1.28E-01,7.60E+00,,,,
339,-2.88E-01,7.88E+00,,,,
340,-1.02E+00,3.68E+00,,,,
