X,CH1,CH2,CH3,,
Sequence,Volt,Volt,Volt,Start,Increment
256,-7.20E-01,6.80E+00,0.00E+00,,
257,1.28E+00,4.60E+00,-3.00E-01,,
258,1.36E+00,6.40E+00,-3.00E-01,,
259,-1.44E+00,4.00E+00,0.00E+00,,
260,-8.00E-01,6.60E+00,0.00E+00,,
261,1.12E+00,4.40E+00,-3.00E-01,,
262,1.04E+00,6.20E+00,-3.00E-01,,
263,-1.04E+00,4.20E+00,0.00E+00,,
264,-5.60E-01,6.20E+00,-3.00E-01,,
265,1.36E+00,4.60E+00,-1.00E-01,,
266,1.12E+00,4.80E+00,0.00E+00,,
267,-7.20E-01,6.80E+00,-3.00E-01,,
268,1.52E+00,4.00E+00,-3.00E-01,,
269,-1.28E+00,6.40E+00,0.00E+00,,
270,-8.00E-01,6.60E+00,0.00E+00,,
271,1.60E+00,4.60E+00,-3.00E-01,,
272,-1.44E+00,4.00E+00,-3.00E-01,,
273,1.12E+00,6.20E+00,0.00E+00,,
274,1.20E+00,6.20E+00,-3.00E-01,,
275,-8.00E-01,4.60E+00,0.00E+00,,
276,-1.44E+00,6.20E+00,0.00E+00,,
277,1.44E+00,4.20E+00,-3.00E-01,,
278,1.12E+00,4.60E+00,-3.00E-01,,
279,-9.60E-01,6.00E+00,0.00E+00,,
280,9.60E-01,4.00E+00,0.00E+00,,
281,-1.44E+00,6.80E+00,-3.00E-01,,
282,-6.40E-01,4.00E+00,-3.00E-01,,
283,8.80E-01,6.60E+00,0.00E+00,,
284,-1.36E+00,4.40E+00,-3.00E-01,,
285,1.12E+00,6.60E+00,0.00E+00,,
286,-1.12E+00,6.20E+00,0.00E+00,,
287,1.28E+00,4.60E+00,-3.00E-01,,
288,1.36E+00,6.20E+00,-3.00E-01,,
289,-1.44E+00,4.00E+00,0.00E+00,,
290,-8.00E-01,6.20E+00,0.00E+00,,
291,1.12E+00,4.60E+00,-3.00E-01,,
292,1.12E+00,6.20E+00,-3.00E-01,,
293,-1.04E+00,4.00E+00,0.00E+00,,
294,8.80E-01,6.40E+00,-3.00E-01,,
295,-9.60E-01,4.20E+00,0.00E+00,,
296,-6.40E-01,4.60E+00,0.00E+00,,
297,1.60E+00,6.60E+00,-3.00E-01,,
298,-1.44E+00,6.20E+00,-3.00E-01,,
299,8.80E-01,4.00E+00,0.00E+00,,
300,-7.20E-01,4.60E+00,0.00E+00,,
301,1.44E+00,6.60E+00,-3.00E-01,,
302,1.52E+00,4.60E+00,-2.00E-01,,
303,-1.20E+00,6.40E+00,0.00E+00,,
304,-1.04E+00,6.60E+00,-3.00E-01,,
305,8.80E-01,4.20E+00,0.00E+00,,
306,-1.28E+00,4.60E+00,0.00E+00,,
307,6.40E-01,5.80E+00,-3.00E-01,,
308,-7.20E-01,4.60E+00,-3.00E-01,,
309,1.28E+00,6.80E+00,0.00E+00,,
310,9.60E-01,4.80E+00,0.00E+00,,
311,-9.60E-01,6.60E+00,-3.00E-01,,
312,1.52E+00,6.40E+00,-2.00E-01,,
313,-1.28E+00,4.20E+00,0.00E+00,,
314,1.36E+00,4.80E+00,-3.00E-01,,
315,-9.60E-01,6.80E+00,0.00E+00,,
316,1.44E+00,6.80E+00,0.00E+00,,
317,-4.80E-01,4.20E+00,-3.00E-01,,
318,-8.80E-01,6.80E+00,-3.00E-01,,
319,1.28E+00,4.60E+00,0.00E+00,,
320,1.12E+00,6.80E+00,0.00E+00,,
321,-8.80E-01,4.20E+00,-3.00E-01,,
322,-7.20E-01,4.80E+00,-3.00E-01,,
323,8.00E-01,6.40E+00,0.00E+00,,
324,1.20E+00,7.20E+00,-3.00E-01,,
325,-1.44E+00,4.20E+00,0.00E+00,,
326,-1.44E+00,6.40E+00,0.00E+00,,
327,1.44E+00,4.20E+00,-2.00E-01,,
328,9.60E-01,6.60E+00,-3.00E-01,,
329,-9.60E-01,5.00E+00,0.00E+00,,
330,6.40E-01,4.80E+00,0.00E+00,,
331,-1.04E+00,6.80E+00,-3.00E-01,,
332,1.12E+00,7.00E+00,-2.00E-01,,
333,-1.12E+00,4.80E+00,0.00E+00,,
334,1.52E+00,6.80E+00,-3.00E-01,,
335,-7.20E-01,5.00E+00,0.00E+00,,
336,1.36E+00,7.00E+00,0.00E+00,,
337,-1.12E+00,4.80E+00,-3.00E-01,,
338,-7.20E-01,6.80E+00,-3.00E-01,,
339,1.36E+00,4.80E+00,0.00E+00,,
340,-1.28E+00,4.60E+00,0.00E+00,,
341,1.44E+00,6.80E+00,-3.00E-01,,
342,9.60E-01,6.60E+00,0.00E+00,,
343,-9.60E-01,4.80E+00,-3.00E-01,,
344,1.28E+00,5.20E+00,-3.00E-01,,
345,-8.00E-01,7.20E+00,0.00E+00,,
346,1.20E+00,4.60E+00,0.00E+00,,
347,-1.44E+00,6.80E+00,-3.00E-01,,
348,9.60E-01,6.80E+00,-3.00E-01,,
349,-1.20E+00,4.60E+00,0.00E+00,,
350,9.60E-01,5.20E+00,0.00E+00,,
351,-9.60E-01,7.20E+00,-3.00E-01,,
352,-9.60E-01,6.80E+00,-2.00E-01,,
353,8.80E-01,5.40E+00,0.00E+00,,
354,-1.04E+00,4.60E+00,-3.00E-01,,
355,1.36E+00,7.00E+00,0.00E+00,,
356,-1.04E+00,7.40E+00,0.00E+00,,
357,1.36E+00,4.80E+00,-3.00E-01,,
358,1.44E+00,5.20E+00,-3.00E-01,,
359,-7.20E-01,7.00E+00,0.00E+00,,
360,-1.36E+00,5.00E+00,0.00E+00,,
361,1.44E+00,7.00E+00,-3.00E-01,,
362,1.12E+00,5.20E+00,-3.00E-01,,
363,-8.80E-01,6.80E+00,0.00E+00,,
364,1.04E+00,5.40E+00,0.00E+00,,
365,-9.60E-01,7.20E+00,-3.00E-01,,
366,1.44E+00,5.20E+00,0.00E+00,,
367,-7.20E-01,7.00E+00,-3.00E-01,,
368,9.60E-01,7.00E+00,-3.00E-01,,
369,-1.04E+00,5.20E+00,0.00E+00,,
370,1.44E+00,5.40E+00,-1.00E-01,,
371,-8.80E-01,7.40E+00,-3.00E-01,,
372,1.04E+00,7.40E+00,-3.00E-01,,
373,-8.00E-01,5.40E+00,0.00E+00,,
374,-1.04E+00,6.80E+00,-3.00E-01,,
375,1.04E+00,4.80E+00,0.00E+00,,
376,9.60E-01,7.20E+00,0.00E+00,,
377,-9.60E-01,5.40E+00,-3.00E-01,,
378,-1.04E+00,5.40E+00,-3.00E-01,,
379,6.40E-01,6.80E+00,0.00E+00,,
380,1.20E+00,7.40E+00,0.00E+00,,
381,-1.44E+00,4.80E+00,-3.00E-01,,
382,-1.20E+00,7.40E+00,-2.00E-01,,
383,1.44E+00,5.00E+00,0.00E+00,,
384,-1.36E+00,7.00E+00,-3.00E-01,,
385,9.60E-01,5.20E+00,0.00E+00,,
386,8.00E-01,5.40E+00,0.00E+00,,
387,-1.12E+00,6.80E+00,-3.00E-01,,
388,1.44E+00,5.40E+00,-3.00E-01,,
389,-8.00E-01,7.40E+00,0.00E+00,,
390,7.20E-01,4.80E+00,0.00E+00,,
391,-1.04E+00,7.00E+00,-3.00E-01,,
392,-1.44E+00,7.40E+00,-3.00E-01,,
393,1.36E+00,4.80E+00,0.00E+00,,
394,1.12E+00,7.40E+00,-1.00E-01,,
395,-9.60E-01,5.80E+00,-3.00E-01,,
396,-8.80E-01,4.80E+00,0.00E+00,,
397,7.20E-01,7.40E+00,-3.00E-01,,
398,-9.60E-01,5.60E+00,-3.00E-01,,
399,9.60E-01,7.60E+00,0.00E+00,,
400,9.60E-01,4.80E+00,0.00E+00,,
401,-1.44E+00,7.60E+00,-3.00E-01,,
402,-1.28E+00,5.40E+00,-3.00E-01,,
403,1.52E+00,7.20E+00,0.00E+00,,
404,7.20E-01,7.40E+00,0.00E+00,,
405,-1.20E+00,5.20E+00,-3.00E-01,,
406,1.44E+00,5.60E+00,0.00E+00,,
407,-1.12E+00,7.60E+00,-3.00E-01,,
408,6.40E-01,7.20E+00,-3.00E-01,,
409,-1.60E+00,5.20E+00,0.00E+00,,
410,1.44E+00,7.60E+00,0.00E+00,,
411,-1.36E+00,5.60E+00,-3.00E-01,,
412,9.60E-01,5.20E+00,-3.00E-01,,
413,-8.80E-01,7.40E+00,0.00E+00,,
414,-1.52E+00,5.20E+00,-3.00E-01,,
415,1.12E+00,7.60E+00,0.00E+00,,
416,-9.60E-01,5.80E+00,0.00E+00,,
417,1.20E+00,8.00E+00,-3.00E-01,,
418,-1.52E+00,5.20E+00,-3.00E-01,,
419,1.44E+00,7.60E+00,0.00E+00,,
420,1.36E+00,5.40E+00,0.00E+00,,
421,-1.60E+00,8.00E+00,-3.00E-01,,
422,-1.04E+00,5.80E+00,0.00E+00,,
423,1.20E+00,7.60E+00,-3.00E-01,,
424,1.04E+00,7.40E+00,-3.00E-01,,
425,-1.28E+00,5.20E+00,0.00E+00,,
426,-1.36E+00,5.20E+00,0.00E+00,,
427,1.28E+00,7.80E+00,-3.00E-01,,
428,-1.52E+00,7.80E+00,-3.00E-01,,
429,1.36E+00,5.20E+00,0.00E+00,,
430,-1.12E+00,7.60E+00,0.00E+00,,
431,1.36E+00,5.80E+00,-3.00E-01,,
432,1.44E+00,5.60E+00,-3.00E-01,,
433,-1.44E+00,8.00E+00,0.00E+00,,
434,1.52E+00,7.80E+00,-3.00E-01,,
435,-1.04E+00,6.00E+00,0.00E+00,,
436,1.44E+00,8.40E+00,0.00E+00,,
437,-8.00E-01,5.80E+00,-3.00E-01,,
438,-1.28E+00,5.40E+00,-3.00E-01,,
439,1.36E+00,8.00E+00,0.00E+00,,
440,4.80E-01,7.60E+00,0.00E+00,,
441,-1.52E+00,5.40E+00,-3.00E-01,,
442,-1.60E+00,5.40E+00,0.00E+00,,
443,1.12E+00,7.80E+00,-3.00E-01,,
444,1.44E+00,8.00E+00,-3.00E-01,,
445,-1.52E+00,5.40E+00,0.00E+00,,
446,-8.80E-01,6.40E+00,0.00E+00,,
447,1.36E+00,8.20E+00,-3.00E-01,,
448,1.44E+00,6.00E+00,-1.00E-01,,
449,-8.80E-01,8.00E+00,-3.00E-01,,
450,-1.60E+00,8.40E+00,0.00E+00,,
451,1.36E+00,5.40E+00,-3.00E-01,,
452,8.00E-01,5.60E+00,0.00E+00,,
453,-1.52E+00,7.80E+00,-3.00E-01,,
454,1.36E+00,8.00E+00,-3.00E-01,,
455,-1.20E+00,5.80E+00,-1.00E-01,,
456,1.36E+00,8.00E+00,0.00E+00,,
457,-1.04E+00,5.80E+00,-3.00E-01,,
458,-1.20E+00,6.00E+00,-3.00E-01,,
459,1.44E+00,8.00E+00,0.00E+00,,
460,-9.60E-01,8.20E+00,0.00E+00,,
461,1.44E+00,5.40E+00,-3.00E-01,,
462,1.28E+00,7.80E+00,-2.00E-01,,
