X,CH1,CH2,Start,Increment,P(Psi),V_int (cc)
Sequence,Volt,Volt,-2.50E+00,5.00E-03,8.5,11.73
312,1.20E+00,6.80E+00,,,,
313,-9.60E-01,5.20E+00,,,,
314,-1.20E+00,6.80E+00,,,,
315,8.80E-01,4.80E+00,,,,
316,-9.60E-01,7.00E+00,,,,
317,1.20E+00,4.80E+00,,,,
318,-1.04E+00,7.20E+00,,,,
319,1.28E+00,5.00E+00,,,,
320,-8.80E-01,7.00E+00,,,,
321,1.12E+00,5.20E+00,,,,
322,-1.28E+00,7.00E+00,,,,
323,1.28E+00,5.00E+00,,,,
324,-1.04E+00,7.20E+00,,,,
325,1.12E+00,5.20E+00,,,,
326,9.60E-01,5.20E+00,,,,
327,-1.04E+00,7.20E+00,,,,
328,-1.04E+00,5.20E+00,,,,
329,1.04E+00,7.20E+00,,,,
330,-1.04E+00,7.00E+00,,,,
331,1.20E+00,5.40E+00,,,,
332,1.20E+00,5.40E+00,,,,
333,-1.04E+00,7.20E+00,,,,
334,1.36E+00,7.00E+00,,,,
335,-1.04E+00,5.40E+00,,,,
336,9.60E-01,5.40E+00,,,,
337,-9.60E-01,7.20E+00,,,,
338,-1.20E+00,5.20E+00,,,,
339,1.28E+00,7.40E+00,,,,
340,-8.80E-01,7.40E+00,,,,
341,1.36E+00,5.40E+00,,,,
342,1.12E+00,7.20E+00,,,,
343,-9.60E-01,5.20E+00,,,,
344,-8.00E-01,7.40E+00,,,,
345,1.44E+00,5.60E+00,,,,
346,-1.20E+00,5.00E+00,,,,
347,9.60E-01,7.40E+00,,,,
348,-1.04E+00,5.40E+00,,,,
349,1.20E+00,7.40E+00,,,,
350,1.12E+00,7.20E+00,,,,
351,-1.20E+00,5.40E+00,,,,
352,1.12E+00,5.40E+00,,,,
353,-9.60E-01,7.40E+00,,,,
354,-1.12E+00,5.20E+00,,,,
355,1.36E+00,7.60E+00,,,,
356,1.04E+00,7.40E+00,,,,
357,-1.04E+00,5.20E+00,,,,
358,-1.20E+00,7.40E+00,,,,
359,1.12E+00,5.20E+00,,,,
360,-6.40E-01,7.20E+00,,,,
361,1.12E+00,5.40E+00,,,,
362,-8.00E-01,5.60E+00,,,,
363,1.12E+00,7.80E+00,,,,
364,1.36E+00,5.40E+00,,,,
365,-1.28E+00,7.60E+00,,,,
366,9.60E-01,7.60E+00,,,,
367,-9.60E-01,5.60E+00,,,,
368,9.60E-01,7.40E+00,,,,
369,-1.12E+00,5.40E+00,,,,
370,1.20E+00,7.40E+00,,,,
371,-9.60E-01,5.60E+00,,,,
372,-1.20E+00,7.60E+00,,,,
373,1.04E+00,5.60E+00,,,,
374,-6.40E-01,5.40E+00,,,,
375,1.28E+00,7.60E+00,,,,
376,1.12E+00,5.80E+00,,,,
377,-8.00E-01,8.00E+00,,,,
378,-8.80E-01,5.80E+00,,,,
379,1.04E+00,7.80E+00,,,,
380,-9.60E-01,7.80E+00,,,,
381,1.28E+00,5.80E+00,,,,
382,1.36E+00,7.80E+00,,,,
383,-8.80E-01,6.00E+00,,,,
384,-1.04E+00,5.40E+00,,,,
385,1.44E+00,7.80E+00,,,,
386,-1.28E+00,5.60E+00,,,,
387,9.60E-01,7.80E+00,,,,
388,1.12E+00,8.00E+00,,,,
389,-1.04E+00,6.00E+00,,,,
390,1.36E+00,7.80E+00,,,,
391,-9.60E-01,5.80E+00,,,,
392,-1.04E+00,6.00E+00,,,,
393,1.28E+00,7.80E+00,,,,
394,9.60E-01,7.80E+00,,,,
395,-1.20E+00,6.20E+00,,,,
396,9.60E-01,6.00E+00,,,,
397,-1.04E+00,8.00E+00,,,,
398,1.36E+00,7.80E+00,,,,
399,-1.44E+00,5.80E+00,,,,
400,-1.12E+00,8.00E+00,,,,
401,1.28E+00,6.00E+00,,,,
402,1.04E+00,8.00E+00,,,,
403,-8.80E-01,6.00E+00,,,,
404,1.36E+00,5.80E+00,,,,
405,-8.80E-01,8.20E+00,,,,
406,1.04E+00,6.00E+00,,,,
407,-1.12E+00,7.80E+00,,,,
408,-9.60E-01,8.00E+00,,,,
409,1.36E+00,6.00E+00,,,,
410,-1.12E+00,5.60E+00,,,,
411,1.12E+00,7.80E+00,,,,
412,1.28E+00,8.00E+00,,,,
413,-8.00E-01,5.80E+00,,,,
414,-1.28E+00,8.20E+00,,,,
415,1.36E+00,6.20E+00,,,,
416,-1.04E+00,6.20E+00,,,,
417,1.20E+00,8.00E+00,,,,
418,9.60E-01,6.00E+00,,,,
419,-7.20E-01,8.40E+00,,,,
420,-8.80E-01,8.20E+00,,,,
421,1.04E+00,6.40E+00,,,,
422,1.04E+00,6.40E+00,,,,
423,-9.60E-01,8.40E+00,,,,
424,9.60E-01,8.20E+00,,,,
425,-1.12E+00,6.20E+00,,,,
426,-1.04E+00,8.20E+00,,,,
427,1.36E+00,5.80E+00,,,,
428,-1.20E+00,6.20E+00,,,,
429,1.28E+00,8.40E+00,,,,
430,-1.04E+00,6.20E+00,,,,
431,9.60E-01,8.40E+00,,,,
432,-7.20E-01,6.40E+00,,,,
433,1.12E+00,8.20E+00,,,,
434,-1.04E+00,6.40E+00,,,,
435,1.12E+00,8.40E+00,,,,
436,-9.60E-01,6.20E+00,,,,
437,1.12E+00,8.40E+00,,,,
438,1.04E+00,6.60E+00,,,,
439,-1.20E+00,8.20E+00,,,,
440,1.28E+00,8.20E+00,,,,
441,-6.40E-01,6.20E+00,,,,
442,-1.12E+00,6.60E+00,,,,
443,1.12E+00,8.60E+00,,,,
444,-9.60E-01,6.60E+00,,,,
445,1.04E+00,8.40E+00,,,,
446,1.12E+00,6.00E+00,,,,
447,-1.12E+00,8.60E+00,,,,
448,-1.12E+00,6.40E+00,,,,
449,9.60E-01,8.40E+00,,,,
450,-1.20E+00,8.60E+00,,,,
451,1.04E+00,6.20E+00,,,,
452,1.04E+00,6.60E+00,,,,
453,-8.00E-01,8.60E+00,,,,
454,-8.00E-01,8.60E+00,,,,
455,1.36E+00,6.80E+00,,,,
456,1.28E+00,6.80E+00,,,,
457,-1.20E+00,8.40E+00,,,,
458,-5.60E-01,6.80E+00,,,,
459,1.04E+00,8.60E+00,,,,
460,-1.04E+00,6.60E+00,,,,
461,1.36E+00,8.80E+00,,,,
462,-9.60E-01,8.60E+00,,,,
463,1.12E+00,6.40E+00,,,,
464,-1.12E+00,6.80E+00,,,,
465,1.28E+00,8.60E+00,,,,
466,1.04E+00,6.60E+00,,,,
467,-9.60E-01,8.60E+00,,,,
468,-1.04E+00,8.60E+00,,,,
469,8.80E-01,6.80E+00,,,,
470,-8.80E-01,6.40E+00,,,,
471,1.36E+00,8.60E+00,,,,
472,-1.12E+00,6.60E+00,,,,
473,1.20E+00,8.60E+00,,,,
474,1.12E+00,6.40E+00,,,,
475,-1.04E+00,8.80E+00,,,,
476,1.12E+00,6.60E+00,,,,
477,-1.28E+00,8.60E+00,,,,
478,8.80E-01,8.60E+00,,,,
479,-9.60E-01,7.20E+00,,,,
480,1.04E+00,8.60E+00,,,,
481,-9.60E-01,7.00E+00,,,,
482,9.60E-01,7.00E+00,,,,
483,-9.60E-01,8.80E+00,,,,
484,-1.12E+00,8.80E+00,,,,
485,1.04E+00,6.80E+00,,,,
486,-8.80E-01,6.60E+00,,,,
487,1.04E+00,9.00E+00,,,,
488,9.60E-01,8.80E+00,,,,
489,-8.80E-01,6.80E+00,,,,
490,1.12E+00,7.00E+00,,,,
491,-1.12E+00,9.00E+00,,,,
492,-1.12E+00,6.80E+00,,,,
493,9.60E-01,9.00E+00,,,,
494,1.28E+00,8.80E+00,,,,
495,-1.36E+00,6.60E+00,,,,
496,-1.28E+00,9.00E+00,,,,
497,1.20E+00,7.00E+00,,,,
498,1.28E+00,9.00E+00,,,,
499,-1.04E+00,6.80E+00,,,,
500,-9.60E-01,8.80E+00,,,,
501,7.20E-01,7.20E+00,,,,
502,1.28E+00,9.00E+00,,,,
503,-1.36E+00,7.00E+00,,,,
504,9.60E-01,6.80E+00,,,,
505,-1.44E+00,9.00E+00,,,,
506,1.20E+00,7.00E+00,,,,
507,-1.04E+00,9.20E+00,,,,
508,9.60E-01,9.00E+00,,,,
509,-1.20E+00,6.60E+00,,,,
510,8.80E-01,9.00E+00,,,,
511,-9.60E-01,6.60E+00,,,,
512,1.20E+00,7.00E+00,,,,
513,-1.12E+00,9.00E+00,,,,
514,-1.36E+00,6.80E+00,,,,
515,9.60E-01,9.20E+00,,,,
516,-8.80E-01,9.00E+00,,,,
517,8.80E-01,7.00E+00,,,,
518,1.12E+00,9.00E+00,,,,
519,-9.60E-01,7.20E+00,,,,
520,9.60E-01,9.20E+00,,,,
521,-1.44E+00,7.00E+00,,,,
522,-1.20E+00,7.40E+00,,,,
523,1.12E+00,9.00E+00,,,,
524,1.12E+00,9.20E+00,,,,
525,-1.36E+00,7.40E+00,,,,
526,-1.04E+00,7.20E+00,,,,
527,1.12E+00,9.20E+00,,,,
528,-8.80E-01,9.20E+00,,,,
529,9.60E-01,7.00E+00,,,,
530,-8.00E-01,9.20E+00,,,,
531,1.28E+00,7.40E+00,,,,
532,1.36E+00,9.20E+00,,,,
533,-1.04E+00,7.40E+00,,,,
534,1.12E+00,9.00E+00,,,,
535,-1.20E+00,7.00E+00,,,,
536,-1.20E+00,7.20E+00,,,,
537,1.12E+00,9.00E+00,,,,
538,-1.12E+00,7.60E+00,,,,
539,9.60E-01,9.20E+00,,,,
540,1.28E+00,7.40E+00,,,,
541,-1.20E+00,9.40E+00,,,,
542,-1.28E+00,7.60E+00,,,,
543,1.28E+00,9.40E+00,,,,
544,-1.36E+00,7.20E+00,,,,
545,1.28E+00,9.40E+00,,,,
546,1.04E+00,9.40E+00,,,,
547,-1.20E+00,7.20E+00,,,,
548,-1.04E+00,7.20E+00,,,,
549,1.20E+00,9.40E+00,,,,
550,-1.12E+00,9.20E+00,,,,
551,8.80E-01,7.60E+00,,,,
552,1.04E+00,7.60E+00,,,,
553,-9.60E-01,9.40E+00,,,,
554,9.60E-01,9.00E+00,,,,
555,-1.36E+00,7.40E+00,,,,
556,9.60E-01,7.40E+00,,,,
557,-1.20E+00,9.60E+00,,,,
558,1.28E+00,7.80E+00,,,,
559,-1.28E+00,9.40E+00,,,,
560,-9.60E-01,7.40E+00,,,,
561,8.00E-01,9.60E+00,,,,
562,8.80E-01,9.40E+00,,,,
563,-1.12E+00,7.40E+00,,,,
564,1.04E+00,9.60E+00,,,,
565,-1.12E+00,7.60E+00,,,,
566,-8.80E-01,7.80E+00,,,,
